scores,avg_score
-54.9811029273964,
-56.1752463229186,-44.9811029273964
-58.930258188209,-45.5781746251575
-55.2323132027894,-46.6955358128414
-52.2254919854191,-47.5797301603284
-51.2932021774229,-47.9088825253465
-54.8015032595171,-48.3062691340259
-54.3387733866035,-48.9484454376675
-54.0126580790464,-49.6222364312845
-54.6716189777239,-50.1100610588136
-52.9605638570681,-50.5662168507046
-54.094300427982,-50.783884760374
-54.6083855451978,-51.0597527326747
-54.4803801927566,-51.3327244874842
-53.0540838921856,-51.5575570378608
-51.5429124889698,-51.6573254948158
-52.3767989610179,-51.6501746819504
-51.5241664033136,-51.6929172866014
-52.2044674323286,-51.6835422375299
-51.7364751041714,-51.7109593530456
-51.6631872291134,-51.7122351406019
-52.453916010572,-51.7098995257691
-52.4883718235775,-51.7437184568965
-52.557143507734,-51.7760946902305
-52.3495002060786,-51.8086383909598
-52.3102924438828,-51.8302728635645
-51.4906740982381,-51.8487351551152
-51.9729087012998,-51.8354736344901
-52.5661944595633,-51.8403820297333
-52.7371417582245,-51.8654100445551
-52.2656695961938,-51.894467768344
-51.7415515964623,-51.9064420208553
-52.1836707560991,-51.901289195093
-51.9699132055879,-51.9098462120932
-52.0640112257163,-51.9116128883725
-52.2563773740398,-51.9159671265823
-52.8602600218214,-51.9254229667895
-51.9486901351866,-51.9506888331417
-52.5550433383578,-51.9506362358271
-44.6505453946493,-51.9661338538407
-41.5165421226765,-51.7832441423609
-40.814485433632,-51.5328367760271
-40.0888806473279,-51.2776379345415
-39.0072093782176,-51.0174342766994
-37.9158156105622,-50.7444746199157
-41.0344182453881,-50.4593933085967
-41.173719493898,-50.2545025463531
-41.5387119755554,-50.0612943963008
-41.3065985489587,-49.8837405958686
-41.69296996715,-49.7086968806256
-41.5638319445594,-49.548382342356
-41.9509686343659,-49.3918225306345
-42.8700746420986,-49.2487291864755
-43.2491336368844,-49.1283772139401
-43.2172500326856,-49.0195023328835
-42.949111825403,-48.9140068365163
-42.7563256147356,-48.807490854175
-43.0966833053187,-48.7013300605006
-43.1099298646967,-48.604698219894
-42.447770327806,-48.5115665528568
-43.2281916306345,-48.4105032824393
-42.9557929381811,-48.3255473537212
-43.4381367548425,-48.238938411535
-42.856467875366,-48.1627352106351
-43.3790026689228,-48.0798247835216
-42.3958733470256,-48.007504443297
-41.9125285786604,-47.9224797297171
-41.3028595725022,-47.8327789662685
-39.6857745310343,-47.7367507398896
-39.7498293560054,-47.6200699252685
-39.6253220644708,-47.5076379171362
-39.8695123638213,-47.396619384
-39.7927833107416,-47.292076230942
-39.8138579102107,-47.1893461909392
-39.0116361538645,-47.0896774303889
-39.2232026710143,-46.9819702133685
-39.2789388891378,-46.8798811667586
-39.3438040903304,-46.7811676306856
-39.9809824056607,-46.6858168160657
-39.505715527179,-46.600945494415
-39.4130159399336,-46.5122551198245
-39.4890493363844,-46.4246101916777
-39.4960641552345,-46.3400301812473
-39.7176714508356,-46.2575727592472
-38.9383685443601,-46.1797167912899
-39.7190296566614,-46.0945244589731
-39.5009592962978,-46.0203907984811
-39.5613573467711,-45.9454548042031
-39.7823486039459,-45.8729082421868
-39.3563463718384,-45.8044749878246
-39.3810022891727,-45.7328291143136
-39.3353759053888,-45.6630288195318
-39.8529292226299,-45.5942499835086
-39.2813701615652,-45.5325153516711
-39.7820564690119,-45.4660138070955
-39.6226980211266,-45.406182677221
-39.7540189110788,-45.3459380453867
-39.7093679602255,-45.2882893945175
-39.77175870358,-45.2313616247799
-39.6992622053164,-45.1762141205253
-39.5943093626536,-45.1214446013732
-39.6334803563033,-45.0675766657258
-39.8229397218014,-45.0021590060596
-39.4533555997393,-44.9110858213956
-39.6743419136511,-44.803296245365
-39.896697065808,-44.7077847446474
-39.5265092374096,-44.6038196935312
-39.8770114837511,-44.4710697533101
-39.4890934344153,-44.3264521342816
-39.7681376306743,-44.1812164878353
-39.9923387626711,-44.0321816743648
-39.6536925449875,-43.9024994234209
-39.6814405433537,-43.7580933445909
-39.7219836107073,-43.6088238945725
-39.5173420775356,-43.461239928752
-39.3873346554477,-43.3258725106055
-39.7478644969355,-43.2043167322702
-39.6651412266691,-43.0780273876294
-39.771685247564,-42.959437135863
-39.207382442159,-42.8351093140153
-39.813635753924,-42.7098183873952
-39.0778559958529,-42.5913228726433
-39.5360504397078,-42.4575622724961
-39.9840301907635,-42.3280390586574
-39.5624041012807,-42.2023079254877
-39.3484263670781,-42.0744369644397
-39.8429950205706,-41.9448183036717
-39.5722952448466,-41.828341512895
-39.9810231984505,-41.7043353783305
-39.9037031119293,-41.5784836657194
-39.5182955591536,-41.4501492792564
-39.768995110626,-41.322675538886
-39.3073791334161,-41.2029499740276
-39.1794689255809,-41.0741870578008
-39.291350255253,-40.9462826150007
-39.1991303622355,-40.8185560052961
-39.9623786387283,-40.6879835351781
-39.3531726699538,-40.5590047213471
-39.6233735130064,-40.4330495466948
-39.9617081335975,-40.3037328484413
-39.8813250307083,-40.2568444758308
-40.0218117933605,-40.2404923049111
-39.9172919701156,-40.2325655685084
-39.207783684392,-40.2308496817363
-39.6609753038172,-40.232855424798
-40.1625314124293,-40.2503070217306
-39.8662194474404,-40.241588153401
-40.4409753832395,-40.2285131529364
-39.9988278245765,-40.2175357870132
-39.8545551813624,-40.2044580797694
-39.9988744320064,-40.1860739319115
-39.8147587021462,-40.170424356786
-41.0035069146291,-40.1490622574638
-40.2881160214101,-40.1303965801891
-40.2132316429337,-40.1007864040344
-40.2488361534397,-40.0707462201368
-40.3832241165071,-40.0437434634172
-40.4405981682402,-40.0200124484349
-40.3723206352919,-39.9934515970641
-40.2885803861194,-39.9660755047701
-40.7677154281267,-39.9444836053532
-40.1799947932601,-39.9198788433281
-40.4339808189912,-39.8921208618789
-39.962276055111,-39.8620793025204
-39.9048029864374,-39.8331373843179
-40.3634823936878,-39.798395387493
-39.0237355280537,-39.7780714779596
-39.4493475813392,-39.7491835474536
-40.0393413985905,-39.7306484275419
-39.9839487566073,-39.7341840962175
-39.979320540539,-39.7365252902235
-39.7888615080868,-39.7400652749842
-40.4940848829746,-39.7392587664269
-40.0646575586051,-39.7462717821492
-40.1973071932216,-39.7487797786331
-40.2742452605427,-39.7606364890267
-40.7676978766648,-39.771146914922
-40.5685583901686,-39.7860345047973
-40.716807182636,-39.7982820477956
-41.2045839267085,-39.8056402955654
-40.5635697637431,-39.8226289795607
-41.2819701116373,-39.8341345177988
-41.9754610413391,-39.8520637255513
-41.375844135723,-39.8768576944124
-41.9586201356655,-39.8934394212612
-40.3606036666506,-39.9236419371743
-41.4284574318615,-39.9300576772742
-41.6864477067982,-39.9493326586298
-40.8550511074533,-39.9705835622301
-41.825160429906,-39.9813105872652
-41.3471956940272,-40.0059987278458
-41.2728539132494,-40.0256606618944
-41.3475787733941,-40.045035441973
-41.3992313061853,-40.0599819374806
-41.2459809102047,-40.0811605489268
-41.805804201871,-40.0957997933388
-41.0492908934282,-40.1176308551462
-41.2779835031831,-40.1305835749697
-41.5500022546311,-40.1462697303993
-41.5683539475196,-40.1640521659098
-41.1848133072033,-40.1827430833318
-41.2175535241745,-40.1986481227773
-41.0083556814382,-40.214488854456
-40.8668839121353,-40.2263430140524
-40.737377004722,-40.2404782971764
-40.6553763751113,-40.2511086480871
-40.6728513963881,-40.2586954411801
-40.9995443640702,-40.2701588627699
-41.1086338800855,-40.2813841915731
-41.5298535569985,-40.2975795960298
-41.8987427081257,-40.315196755293
-40.7604179298721,-40.3342607947476
-41.5170568373424,-40.3453280485964
-41.1552406914429,-40.3636842115363
-40.598688368888,-40.3780167823436
-41.7714669767624,-40.3888302452572
-41.4306224914481,-40.4126715684703
-41.2075055114479,-40.4294991484155
-41.4499904375661,-40.4449227912632
-41.2470879305256,-40.4617058431633
-41.2701061873686,-40.4821028980469
-41.551314310224,-40.4966676023814
-40.9830270379968,-40.5214021855251
-40.7115421026795,-40.535871951508
-40.7199735751656,-40.5431470706271
-40.9623633191961,-40.554722765366
-41.0283613103647,-40.5708621348872
-41.2147316339557,-40.5827157977851
-41.485123015902,-40.5991401616762
-41.4417970146966,-40.6141811598507
-41.0431028596257,-40.6295620988784
-41.404612843439,-40.6448101718831
-41.1801046773225,-40.6611663492112
-41.0314707499507,-40.6798936046503
-41.0595663775385,-40.698413622894
-41.2538258960113,-40.7160957841168
-41.6579743357413,-40.7366427394546
-40.9507014002201,-40.7535986964247
-41.1808014852273,-40.7695739837274
-41.5354805466443,-40.7851482634496
-41.1514521108977,-40.8008859875801
-41.3177174586557,-40.813587258382
-41.7099177309292,-40.8265463150349
-41.644496537389,-40.8444725726431
-40.5678680741759,-40.868839701173
-41.6974409534462,-40.8779086288766
-41.7348646137396,-40.8932577242868
-41.8884821422587,-40.9119441759498
-41.290522237045,-40.92641924354
-41.537684531907,-40.9393361876646
-42.1650365047284,-40.9561674811701
-41.9001006309147,-40.9778291018973
-41.3011427839059,-40.998682521185
-41.7707831150083,-41.0016588798778
-41.5309124156231,-41.0164855508138
-41.8550212282806,-41.0296623585406
-41.870301510247,-41.0457242092891
-40.7768777204878,-41.0605949832265
-41.7240836727055,-41.0639577787489
-41.5137996301936,-41.0774754091231
-41.1257701187839,-41.0897276015638
-41.7566312767282,-41.0933081484704
-41.3747778647038,-41.1090745133051
-41.9804304817806,-41.1184824837622
-41.9498396569376,-41.1386640280289
-41.9778188032989,-41.1591143947339
-41.5502447507965,-41.17525775883
-42.3391190678411,-41.2005228510574
-42.2618051795752,-41.2294205659224
-41.262836293338,-41.2516452037323
-41.3098063463828,-41.2644340790996
-41.7243963682244,-41.277738937158
-41.5885468328584,-41.2970942857594
-41.1588766700979,-41.3080389052582
-41.6714671415597,-41.3189810963732
-41.6690609323254,-41.3337226958566
-41.6773653520181,-41.3476708525744
-42.0542853378263,-41.3567675273279
-41.0595562096054,-41.3716247968045
-41.6418561429434,-41.3750522870742
-41.9971562645907,-41.3794250092365
-41.9261257686311,-41.393760874245
-41.5370586498573,-41.400202430815
-42.2103129570432,-41.3958184069001
-40.7682541265265,-41.4041630951133
-41.4964866592128,-41.392259435022
-41.5675269800046,-41.4036182649476
-41.2910331322502,-41.405008960429
-42.0951025652534,-41.4010548146835
-41.974730345767,-41.4134553292615
-41.6158274627358,-41.4149510284201
-41.3413367386208,-41.4176373461072
-41.2378119024581,-41.4183221743609
-41.7860546749447,-41.4172245056516
-41.5069501097465,-41.4210927393392
-41.2350120462892,-41.4237024313346
-41.4624977944637,-41.4179945097788
-41.1105345309,-41.4221265787891
-41.6668395965465,-41.4204520890663
