,scores,avg_score
0,-44.981102927396435,
1,-46.175246322918625,-44.981102927396435
2,-48.930258188209,-45.57817462515753
3,-50.2323132027894,-46.69553581284135
4,-49.225491985419076,-47.57973016032837
5,-50.293202177422934,-47.908882525346506
6,-52.80150325951707,-48.30626913402591
7,-54.33877338660349,-48.9484454376675
8,-54.01265807904639,-49.622236431284506
9,-54.67161897772389,-50.110061058813606
10,-52.96056385706809,-50.566216850704635
11,-54.09430042798201,-50.783884760374036
12,-54.60838554519776,-51.0597527326747
13,-54.48038019275659,-51.33272448748417
14,-53.05408389218557,-51.55755703786077
15,-51.54291248896976,-51.65732549481575
16,-52.37679896101786,-51.65017468195038
17,-51.52416640331357,-51.69291728660141
18,-52.20446743232855,-51.683542237529856
19,-51.736475104171404,-51.71095935304558
20,-51.66318722911335,-51.71223514060186
21,-52.45391601057204,-51.70989952576908
22,-52.48837182357747,-51.743718456896495
23,-52.557143507734,-51.776094690230444
24,-52.34950020607856,-51.808638390959764
25,-52.31029244388278,-51.83027286356452
26,-51.4906740982381,-51.84873515511522
27,-51.972908701299794,-51.83547363449014
28,-52.56619445956334,-51.84038202973334
29,-52.737141758224475,-51.86541004455506
30,-52.26566959619379,-51.89446776834404
31,-51.74155159646234,-51.90644202085533
32,-52.183670756099076,-51.90128919509304
33,-51.969913205587886,-51.90984621209322
34,-52.06401122571633,-51.911612888372474
35,-52.256377374039765,-51.915967126582295
36,-52.860260021821354,-51.925422966789455
37,-51.94869013518658,-51.95068883314167
38,-52.55504333835781,-51.95063623582706
39,-44.65054539464927,-51.96613385384067
40,-41.51654212267645,-51.783244142360886
41,-40.81448543363198,-51.532836776027125
42,-40.08888064732794,-51.277637934541524
43,-39.007209378217574,-51.017434276699355
44,-37.91581561056224,-50.74447461991568
45,-41.03441824538812,-50.45939330859672
46,-41.17371949389804,-50.25450254635305
47,-41.53871197555536,-50.06129439630082
48,-41.30659854895866,-49.88374059586861
49,-41.692969967150034,-49.70869688062555
50,-41.563831944559425,-49.54838234235604
51,-41.95096863436588,-49.39182253063454
52,-42.870074642098636,-49.24872918647553
53,-43.24913363688444,-49.12837721394011
54,-43.217250032685556,-49.019502332883526
55,-42.94911182540295,-48.91400683651629
56,-42.756325614735644,-48.80749085417498
57,-43.0966833053187,-48.7013300605006
58,-43.10992986469674,-48.60469821989401
59,-42.44777032780596,-48.51156655285677
60,-43.22819163063453,-48.41050328243925
61,-42.95579293818114,-48.32554735372115
62,-43.43813675484249,-48.23893841153502
63,-42.856467875365965,-48.16273521063514
64,-43.379002668922816,-48.07982478352156
65,-42.39587334702557,-48.007504443296966
66,-41.912528578660435,-47.9224797297171
67,-41.302859572502236,-47.832778966268485
68,-39.685774531034255,-47.73675073988957
69,-39.74982935600545,-47.62006992526848
70,-39.62532206447084,-47.50763791713616
71,-39.86951236382128,-47.396619384000026
72,-39.792783310741626,-47.29207623094199
73,-39.81385791021066,-47.18934619093924
74,-39.01163615386453,-47.08967743038885
75,-39.22320267101433,-46.98197021336853
76,-39.2789388891378,-46.8798811667586
77,-39.343804090330366,-46.78116763068561
78,-39.98098240566071,-46.68581681606567
79,-39.50571552717901,-46.600945494414965
80,-39.413015939933615,-46.51225511982452
81,-39.48904933638445,-46.42461019167772
82,-39.49606415523448,-46.34003018124732
83,-39.717671450835596,-46.25757275924716
84,-38.93836854436011,-46.17971679128988
85,-39.719029656661405,-46.094524458973055
86,-39.50095929629783,-46.02039079848106
87,-39.561357346771146,-45.945454804203095
88,-39.78234860394593,-45.872908242186824
89,-39.35634637183843,-45.80447498782457
90,-39.38100228917269,-45.73282911431361
91,-39.33537590538883,-45.663028819531846
92,-39.85292922262986,-45.594249983508554
93,-39.281370161565206,-45.532515351671144
94,-39.782056469011906,-45.46601380709554
95,-39.622698021126645,-45.40618267722098
96,-39.75401891107881,-45.345938045386674
97,-39.70936796022551,-45.28828939451752
98,-39.771758703579955,-45.23136162477985
99,-39.699262205316394,-45.1762141205253
100,-39.59430936265362,-45.12144460137321
101,-39.633480356303295,-45.06757666572578
102,-39.822939721801355,-45.00215900605963
103,-39.45335559973929,-44.91108582139555
