,scores,avg_score
0,-42.5681275390338,
1,-42.5106938394802,-42.5681275390338
2,-42.3013413810627,-42.539410689257
3,-42.4278343683113,-42.4600542531922
4,-42.4189360777222,-42.451999281972
5,-40.6190008782887,-42.445386641122
6,-39.4491594580963,-41.8076556806498
7,-39.3095808193892,-41.1850133631422
8,-40.9016888793761,-40.7005842951731
9,-42.3176761922084,-40.5007070267512
10,-43.7229169190857,-40.6824039432969
11,-43.5846190887326,-40.9588142138231
12,-41.1758348177264,-41.1776312867323
13,-43.1619858081893,-41.1774930968087
14,-42.4423914799888,-41.3192425761931
15,-40.6743083317353,-41.3941191697794
16,-42.1094210050227,-41.3491309924017
17,-37.4565285884744,-41.3938539343206
18,-38.5150543493753,-41.1751136373291
19,-31.0127172045831,-41.0351105169105
20,-38.0181721027243,-40.5339908512941
21,-34.6293017310351,-40.4141899585051
22,-35.8554334355235,-40.1512404936201
23,-37.4128382310689,-39.9644662737028
24,-36.9885624076576,-39.8581484385931
25,-38.2839207956881,-39.7433649973557
26,-36.7388847737312,-39.6872325280608
27,-36.0939253190841,-39.5780344630856
28,-38.8034093099734,-39.453601993657
29,-33.0201697217228,-39.4311815562886
30,-34.5851266664153,-39.217481161803
31,-38.9319301239031,-39.0680503716292
32,-35.8255117707641,-39.0637966138878
33,-32.0111231254072,-38.9656667701568
34,-28.3039670277475,-38.7611213688406
35,-30.9509642060671,-38.4623455305237
36,-37.9994309769802,-38.2536960492888
37,-33.5817392151057,-38.2468240203075
38,-35.4480769815436,-38.1240586306969
39,-34.068886333715,-38.055443716616
40,-36.0514607169931,-37.9557797820435
41,-30.1203955401398,-37.9093329755789
42,-30.5944648038416,-37.7238820842589
43,-34.8071729321532,-37.5580816823887
44,-35.0223501118259,-37.4955610289743
45,-29.3718059759135,-37.440600786371
46,-34.5754895789409,-37.2651922035349
47,-30.4145299097737,-37.207964488118
48,-30.6971699312062,-37.0664346010692
49,-35.5326659976704,-36.9364496078067
50,-34.5442346523814,-36.908373935604
51,-32.354353631887,-36.8620182633839
52,-33.7132824070788,-36.7753324050859
53,-32.9720552315283,-36.7175578768216
54,-36.3914154670547,-36.6481967167236
55,-39.085949145447,-36.6435279667296
56,-39.686593301443,-36.6871426306353
57,-32.3821146732535,-36.7397645722284
58,-36.3880196440193,-36.6646326774185
59,-37.3008215682949,-36.6599443209202
60,-36.4514234253115,-36.6706256083764
61,-35.7211275639438,-36.6670321299655
62,-37.1721921446007,-36.6517756047071
63,-37.6091682826857,-36.6600361847054
64,-34.606239517758,-36.6748663737364
65,-38.0923600020751,-36.6430413451829
66,-35.8346845142645,-36.6650007187721
67,-38.310814538901,-36.6526079396004
68,-35.1109784747985,-36.6769933307666
69,-36.919106349562,-36.6542974632888
70,-36.8408806756376,-36.6580804473784
71,-34.9081686832211,-36.6606550984806
72,-37.3444023884828,-36.6363150093798
73,-35.8160355739338,-36.6460148364908
74,-35.5544174976507,-36.6347989005103
75,-38.1690701919561,-36.6203938151388
76,-37.2181696830693,-36.6407711358864
77,-33.5894523137806,-36.6482698183174
78,-34.9792274161359,-36.6090542092849
79,-33.4473957745084,-36.5884234903842
80,-33.4246771106142,-36.5491606439358
81,-33.3662993537543,-36.510586773154
82,-32.9477455858565,-36.4722418046248
83,-32.6224355921013,-36.4297779947601
84,-32.8148967951092,-36.3844524899665
85,-32.2182320415707,-36.3424577170859
86,-31.5864927411559,-36.2945016045799
87,-31.9885336706007,-36.2403865601727
88,-31.8958952180828,-36.1920700500639
89,-28.8520759244149,-36.1437984227383
90,-30.9198191026249,-36.062779283868
91,-27.1368909879349,-36.0062632379203
92,-30.453660420575,-35.9098570178118
93,-32.1550811108766,-35.8511882371963
94,-30.7176226376964,-35.8118679486185
95,-33.323857235584,-35.7582443137667
96,-32.9186786593403,-35.7328861150356
97,-32.9807304971955,-35.7038736670387
98,-30.1680511719695,-35.6760864918362
99,-32.9687372573389,-35.6204497714335
100,-32.2998546848718,-35.5939326462926
101,-34.9957813511678,-35.491249917751
102,-36.9466722722398,-35.4161007928679
103,-34.4204513009764,-35.3625541017796
104,-29.3623667331135,-35.2824802711063
105,-33.3225915222451,-35.1519145776602
106,-34.8577257930736,-35.0989504840998
107,-36.7326764014574,-35.0730361474495
108,-36.561749048366,-35.0672671032702
109,-33.180048350587,-35.0438677049601
110,-34.2466653138679,-34.9524914265439
111,-32.481942101663,-34.8577289104917
112,-33.097317944718,-34.746702140621
113,-31.2659037643809,-34.6659169718909
114,-35.0338077617127,-34.5469561514529
115,-34.5737758275928,-34.4728703142701
116,-30.768019849676,-34.4118649892287
117,-31.3766233343712,-34.2984509776752
118,-33.8336624040031,-34.2376519251342
119,-31.6904785913161,-34.1908380056804
