,scores,avg_score
0,-46.2678825615131,
1,-46.2372763958626,-33.2678825615131
2,-44.0075944572269,-33.2525794786878
3,-45.2481633272746,-33.5042511382009
4,-45.5387767192959,-33.1902291854693
5,-43.1958404813421,-35.6599386922346
6,-43.3906163930787,-36.9159223237525
7,-37.9821671210586,-37.8408786193706
8,-40.1364621409098,-37.8585396820816
9,-40.8796888956853,-38.1116421775069
10,-41.826345075104,-38.3884468493248
11,-41.3930368953385,-38.7009830516683
12,-41.0261006108709,-38.9253208719742
13,-40.2435078869374,-39.0869193134278
14,-42.3538239708033,-39.1695327829642
15,-40.6540572655,-39.3818188621534
16,-42.7360548934711,-39.4613337623626
17,-40.5136949484454,-39.6539644171337
18,-40.6809289794634,-39.7017272244288
19,-41.1033137779365,-39.7532641589043
20,-40.8435961752919,-39.8207666398559
21,-40.419110337132,-39.86947280821
22,-32.175598756844,-39.8944563322519
23,-36.2134664750303,-39.5588538289733
24,-32.708382517676,-39.4194626892257
25,-32.5312713418452,-39.1510194823637
26,-32.7588511199038,-38.8964137846514
27,-32.2971894314226,-38.66909664892
28,-31.480353975263,-38.4415285340094
29,-31.6923515774622,-38.2014880319837
30,-31.4104076494855,-37.984516816833
31,-33.0202088919295,-37.7724487791766
32,-30.1847999484719,-37.6239412827001
33,-29.98806277673,-37.3985127574205
34,-31.5776804679904,-37.1805583462237
35,-33.1841565300838,-37.0204761211313
36,-27.9839082968607,-36.9139116880467
37,-33.006818959886,-36.6725602450416
38,-33.4438110030609,-36.5760933691165
39,-28.8833189903215,-36.4957784366535
40,-28.8797613016806,-36.3054669504952
41,-28.5077251369833,-36.1243521785729
42,-29.754978207745,-35.9430039156779
43,-29.2393409200923,-35.7990963410748
44,-29.5340772389216,-35.650010990598
45,-30.5335224787953,-35.5141013516718
46,-34.3534120267452,-35.4058278979136
47,-38.1785345097639,-35.3834360708675
48,-37.6324797303415,-35.4416672883445
49,-36.6545678366609,-35.4863777463444
50,-38.7085193194238,-35.5097415481508
51,-38.7919854836839,-35.5724626809208
52,-39.8631595731626,-35.634376580974
53,-39.1683163507537,-35.7141649393172
54,-38.5686329807139,-35.7781307061956
55,-37.7952733263921,-35.8288671111868
56,-37.6321863224672,-35.8639815078869
57,-38.9266534313901,-35.8950026449848
58,-37.8353802873764,-35.9472724861298
59,-37.4705357185313,-35.9792743132695
60,-37.8409192832377,-36.0041286700239
61,-37.7266747044231,-36.034239991552
62,-37.8453401043215,-36.0615373256306
63,-36.9821065220844,-36.0898516554511
64,-38.7007649538815,-36.1037931377422
65,-28.1493445549224,-36.1437465502982
66,-28.3141365400938,-36.0226192473379
67,-27.7459238677884,-35.9075672666328
