scores,avg_score
-144.680259993938,
-145.821972469897,
-140.20025184364,
-150.849562956403,
-144.012670602926,
-144.350761932408,
-142.436516266319,-97.6469547672818
-120.624300597073,-102.993844502716
-123.669955895902,-104.582435546116
-127.408482244003,-109.734394429084
-145.887424373013,-111.602961830555
-145.16807629917,-111.656792332305
-140.842179990092,-112.580159255646
-137.628983300956,-112.636501357493
-148.125486720011,-112.472811132199
-148.187796921604,-112.625660871329
-150.523356485139,-112.191050891129
-141.486508980799,-111.871196063317
-145.647189698385,-112.268733027439
-130.61255164307,-114.583842096475
-140.20025184364,-116.66638412137
-150.849562956403,-118.137250854011
-144.012670602926,-120.061504507093
-144.350761932408,-121.392124845751
-142.436516266319,-122.600474166101
-120.624300597073,-123.592276271112
-123.669955895902,-123.450944096158
-127.408482244003,-123.460899177964
-145.887424373013,-123.632533224314
-145.16807629917,-124.55982035551
-140.842179990092,-125.384150593256
-137.628983300956,-125.978690185442
-148.125486720011,-126.410182523054
-148.187796921604,-127.185729101516
-150.523356485139,-127.909938336692
-141.486508980799,-128.66371894164
-145.647189698385,-129.07735733
-130.61255164307,-129.595164591512
-133.058012552796,-129.625994502165
-142.208147655922,-129.726936209537
-121.627895351325,-130.083542250862
-115.10257308007,-129.848663170319
-111.181220067535,-129.450120194907
-107.683304251792,-128.96935966524
-136.11010767895,-128.423563372587
-127.494784281498,-128.615726980246
-132.705819469865,-128.588386914423
-129.379223362069,-128.686421022886
-141.564562554138,-128.702532705193
-141.950740623792,-128.994851565396
-145.057499202781,-129.282760211138
-137.371791154421,-129.625689319652
-133.521880233699,-129.790499996987
-141.775470987404,-129.868237085252
-145.82785775126,-130.111241858766
-137.962652359992,-130.425574176615
-134.47253563071,-130.573360023348
-127.901932878876,-130.648344169644
-131.784618811394,-130.596525088686
-145.190238746833,-130.618526824292
-138.865160777867,-130.883467041065
-129.561262648738,-131.025997286365
-172.762193335583,-131.000300187459
-173.027301845106,-131.720332827944
-157.355819387858,-132.420450946879
-163.237097595685,-132.836040420896
-164.050962430778,-133.334418407367
-174.017402766671,-133.829846536777
-165.329212470408,-134.467744254712
-168.896342237231,-134.949954695582
-161.760557094506,-135.472206811608
-173.491012381102,-135.870515149227
-173.103148341171,-136.432015107912
-159.098363820311,-136.971296478989
-163.703273344824,-137.291978614371
-163.635831442092,-137.669282824806
-166.486466075095,-138.035008861669
-161.10305376188,-138.430167989633
-175.154166314899,-138.740755465966
-163.855889984699,-139.232828585546
-166.048457076153,-139.561136070868
-159.360894651879,-139.909653452516
-163.154875049071,-140.162266974586
-170.037031663525,-140.457044001182
-161.158017506116,-140.831474224756
-162.786432144784,-141.085556015773
-162.121986057827,-141.353468066748
-169.22380010961,-141.606742676396
-171.443200878349,-141.939478308121
-160.218705751598,-142.290713100624
-164.167644422785,-142.501630661223
-147.783715428001,-142.7535610538
-120.526073477874,-142.81137892017
-112.52817136476,-142.558136812871
-120.762319668262,-142.220721470757
-121.272630487699,-141.982294784063
-121.703049715891,-141.754716055532
-130.761264797185,-141.536763160536
-128.261473310366,-141.420897586736
-122.187892104823,-141.280903711456
-119.528973027314,-141.079924641912
-120.65268437358,-140.855435562593
-121.735949163395,-140.64715977714
-118.742374607519,-140.454188240265
-123.36743303247,-140.234876991449
-120.374037848317,-140.066202551859
-126.408553913644,-140.29347338267
-134.753080567367,-140.474151579424
-129.320366428735,-140.744086208769
-130.096509922489,-140.785387162276
-101.28799012536,-140.895579947137
-102.544145852971,-140.78920039998
-94.7539400642553,-140.633438250553
-95.9696719652272,-140.450668690491
-105.718046725721,-140.298732516845
-101.319690418591,-140.215899898867
-100.507972433745,-140.150647292162
-94.812015169861,-140.072199086925
-113.747458600436,-139.849927472655
-134.648584050274,-139.54059945872
-141.31599623241,-139.428865574524
-146.854443905269,-139.440023018411
-127.362133821344,-139.4000718279
-133.19888827913,-139.233566460084
-124.258569692753,-139.122047723551
-137.40482291594,-138.940268257816
-135.564012894169,-139.108073481004
-136.448079017942,-139.227014050987
-137.560855858127,-139.317410018726
-136.956531313823,-139.234144333578
-147.141058147876,-139.152028883724
-149.4602734893,-139.215017665302
-145.918932844144,-139.333330567185
