,scores,avg_score
0,-86.6339315662746,
1,-75.270904558358,-47.9194182119984
2,-81.6617024378334,-47.906802014747
3,-79.245786015658,-47.9362886581244
4,-79.6174034180084,-47.9188453454347
5,-74.2862353700735,-47.9245469250538
6,-86.6339315662746,-51.6149528346485
7,-75.270904558358,-56.6176640820236
8,-81.6617024378334,-58.9493191415654
9,-79.245786015658,-61.4729172855952
10,-79.6174034180084,-63.2502041586015
11,-74.2862353700735,-64.7381313640021
12,-71.5689702631279,-65.5338066978414
13,-79.1418225226809,-65.9980500490173
14,-74.578695862786,-66.9368909399933
15,-76.6628125745678,-67.4463446015128
16,-75.1699101534365,-68.0223738498287
17,-83.3185801850807,-68.4428171618057
18,-72.9098583048596,-69.2692484408765
19,-79.146198312893,-69.4608594863493
20,-75.5455927287566,-69.9451264276765
21,-83.0848107532578,-70.2118152991565
22,-73.3049938153892,-70.7969514561611
23,-79.1332186519927,-70.9059967761275
24,-73.7393906074829,-71.2487976876219
25,-76.0253045175603,-71.3484214044163
26,-74.9458869074899,-71.5283015241526
27,-76.261736343605,-71.6548787605725
28,-76.8036904163282,-71.819409388538
29,-82.4480999549023,-71.9912811481169
30,-75.011221298979,-72.3398417750098
31,-76.3984286247895,-72.426015308041
32,-77.0299108102455,-72.5501532241894
33,-82.9861285538453,-72.6859034540699
34,-76.4153464623165,-72.9888512511221
35,-75.0229605824396,-73.0867511142991
36,-74.9577050245,-73.1405347106364
37,-80.101977251774,-73.1896474218219
38,-87.3801609936642,-73.3715508383995
39,-74.6013228085085,-73.7307459705858
40,-72.6373007108727,-73.7525103915339
41,-90.2641506805277,-73.7253101554202
42,-82.0085673322572,-74.1190920726847
43,-80.60635714122,-74.302568241512
44,-91.1176686930041,-74.4458361710508
45,-82.0190529620639,-74.8163213382053
46,-80.8771387485819,-74.9729024604631
47,-80.6819277433601,-75.0985245091465
48,-81.7347442606453,-75.2148454098593
49,-83.2241177331107,-75.3479045700794
50,-83.1516323849019,-75.50542883334
51,-84.6778705079015,-75.6553543931745
52,-83.8611629301882,-75.8288643184577
