,scores,avg_score
0,-41.7367861029553,
1,-41.4715060074229,-23.2116305906297
2,-39.1872265749224,-23.2671836068864
3,-41.7367861029553,-27.6661260141222
4,-41.4715060074229,-31.1837910363305
5,-39.1872265749224,-33.241334030549
6,-49.9777516301718,-34.2323161212779
7,-37.2864437754666,-36.4816640511199
8,-31.6259358039533,-36.5822615166632
9,-28.7506902930612,-36.0315586596955
10,-30.8530300837256,-35.303471823032
11,-31.7133522729598,-34.8988862103678
12,-30.5756732791941,-34.6334250489171
13,-29.0549745242508,-34.3212902974
14,-29.5277212466874,-33.9451248850322
15,-31.6832778755278,-33.6506313091425
16,-30.1374116888657,-33.5276717195416
17,-28.4774241061646,-33.3282446589136
18,-29.4204441681967,-33.0587546282053
19,-28.8503438899326,-32.8672646039944
20,-27.9601410735886,-32.6664185682913
21,-29.2663925175268,-32.4423101161626
22,-29.4470643244694,-32.2979502253155
23,-28.6338594207692,-32.1739986644091
24,-33.2228881246801,-32.0264928625908
25,-36.1958590017324,-32.0743486730744
26,-35.6940511594156,-32.2328683010997
27,-35.4495195319467,-32.3610602588151
28,-37.4385663225242,-32.4713623757127
29,-30.2952113303093,-32.6426452704303
30,-25.5197839486066,-32.5643974724263
31,-26.5850753135701,-32.3371518748837
32,-28.7801813949998,-32.1573994823426
33,-26.0053526643381,-32.0550595403019
34,-24.8578282789072,-31.8771269851265
35,-29.225996380376,-31.6765755935203
36,-27.7959604709171,-31.6085039487107
37,-29.5107856169891,-31.5054622330947
38,-28.4871646361654,-31.4529707431971
39,-31.0494082779885,-31.3769244327604
40,-31.2035343739217,-31.3687365288911
41,-30.4800850412231,-31.3647072080382
42,-29.8729694898618,-31.343644775495
43,-30.7460141505609,-31.3094430246663
44,-28.6793383693724,-31.2966378229821
45,-26.3692028873362,-31.2384756129019
46,-30.5228003092361,-31.1326218579983
47,-28.0926521261696,-31.1196469314289
48,-27.9906657683064,-31.0565845396527
49,-27.4253641000613,-30.9940147688089
50,-27.409012137532,-30.9226417554339
51,-27.2922335647817,-30.8537470570437
52,-28.6190122808391,-30.7852564129617
53,-27.0877170732625,-30.7443838821669
54,-28.7738407054163,-30.6766678301502
55,-28.3433069948575,-30.6420709733369
56,-25.1922007130577,-30.6010216165783
57,-25.4788253909355,-30.5061300217797
58,-26.7219587525933,-30.4194523557306
59,-26.6380983451466,-30.3567829726266
60,-26.9424732014498,-30.294804895502
61,-27.3170175230189,-30.2398486382224
62,-27.6671093146104,-30.1927062008804
63,-26.9755586630061,-30.1526173614158
64,-25.1793758263119,-30.1029758192532
65,-21.9009927216805,-30.0272281270541
66,-21.8536677988545,-29.9041033481848
67,-22.4099670120685,-29.7839475937172
68,-23.5485966341083,-29.6755067028106
69,-22.5788169938374,-29.5867109047134
70,-21.7934278276314,-29.4865981345581
71,-22.7221871318491,-29.3782436231929
72,-21.8522136610529,-29.2857983941464
73,-22.4108311491936,-29.1839684662958
74,-24.2590654931043,-29.0924395836323
75,-23.5447524410453,-29.0279945957586
76,-23.7019289772552,-28.9558466726703
77,-21.2631746204291,-28.8876139753272
78,-26.0798806151516,-28.7898647528285
79,-20.6149752114721,-28.7555611561491
80,-25.0466208060602,-28.6538038318406
81,-20.5042271339628,-28.6092707080655
82,-24.500496291968,-28.5104287132594
83,-26.259353598299,-28.4621162744487
84,-22.3931948545636,-28.4358929092564
85,-25.8212664639243,-28.3648023439071
86,-25.0335364956912,-28.3352263453026
87,-25.7167467225311,-28.2972758872611
88,-26.7638164395897,-28.2679516922074
89,-25.0073136676954,-28.2510512961105
90,-23.8641957610314,-28.2150097669059
91,-26.2869457590673,-28.1671986239842
92,-23.6848048657371,-28.1467610928438
