,scores,avg_score
0,-191.728868535343,
1,-169.716320386257,-87.2050059697735
2,-190.022153152526,-93.7386089339405
3,-183.988028976143,-103.033859612509
4,-156.712892281619,-103.808291649951
5,-151.733913585682,-104.363973236024
6,-168.941484637639,-104.37158867304
7,-181.434249382606,-105.436796531293
8,-140.611222504202,-105.851310993533
9,-131.182543224502,-105.624291931272
10,-169.716320386257,-107.234749591679
11,-190.022153152526,-112.914892391186
12,-183.988028976143,-119.340497454631
13,-156.712892281619,-124.313384494747
14,-151.733913585682,-126.627635050953
15,-168.941484637639,-128.301386953268
16,-181.434249382606,-130.841393058541
17,-140.611222504202,-133.817443430545
18,-131.182543224502,-134.194875601304
19,-184.148144593784,-134.036331791998
20,-159.652398123868,-136.541922432087
21,-156.053114701968,-137.642421274553
22,-191.06623986523,-138.479270975799
23,-142.51412762568,-140.765660927514
24,-135.169001277224,-140.838513706604
25,-134.451175013914,-140.611733209429
26,-158.250690555087,-140.374788663447
27,-167.112795521,-141.036859103879
28,-196.670031053136,-141.968142547347
29,-145.929556243828,-143.854414564788
30,-135.124897054324,-143.923585954089
31,-112.111841513634,-143.639757279903
32,-120.713288775463,-142.654509912208
33,-140.752827190612,-141.989624423215
34,-140.928770382006,-141.953248034021
35,-143.56135005734,-141.923977243963
36,-150.016413949627,-141.969459822113
37,-168.82114849355,-142.186945068802
38,-138.206195945412,-142.887845158927
39,-175.512025129323,-142.767802871401
40,-164.871528166448,-143.586408427849
41,-167.20503926976,-144.105557689766
42,-155.574746939405,-144.655545346433
43,-165.736638172849,-144.9094802672
44,-153.048084672911,-145.382824765055
45,-162.626879041064,-145.553163874119
46,-151.432203464448,-145.924331595139
47,-145.077317801408,-146.041520358316
48,-151.377221880984,-146.021432805047
49,-146.935633715063,-146.130734622924
50,-158.600601622284,-146.146832604766
51,-170.635467337026,-146.391024154129
52,-151.598188595948,-146.857263446108
53,-154.258828191139,-146.94671486403
54,-149.18029227947,-147.082124370087
55,-156.279807979844,-147.120272877531
56,-154.199520164233,-147.283836004358
57,-149.802776780986,-147.405163796636
58,-158.298761656239,-147.446501951539
59,-160.500094076985,-147.630438556703
60,-166.77998311067,-147.844932815374
61,-161.012963440298,-148.155343475953
62,-166.002649173921,-148.36272444312
63,-153.084555906444,-148.642723248371
64,-148.286487218231,-148.712126883653
65,-186.533447423962,-148.705578581108
66,-148.585883501066,-149.27872810903
67,-156.524812264417,-149.268387144732
68,-158.64232173575,-149.375099278845
69,-172.934469371309,-149.509406850684
70,-191.806602002186,-149.844050600979
71,-168.438475921766,-150.4350724517
72,-162.698276119038,-150.685119722118
73,-104.364597233436,-150.849683508377
74,-71.746946396371,-150.221506666824
75,-80.4537164823902,-149.175179196551
76,-95.0633935729742,-148.270949423996
77,-91.5412303263199,-147.579942205152
78,-79.1419780633241,-146.861497181064
79,-89.3851132865838,-146.004288078308
80,-130.049226988007,-145.296548393412
81,-92.4075157665967,-145.108309857542
82,-77.3979435438187,-144.465617246677
83,-88.4816898655599,-143.657572985197
84,-79.853326718466,-143.000717233773
85,-76.0995462061469,-142.257806757122
86,-72.9188766594474,-141.488524657692
87,-79.0859166084418,-140.700367784149
88,-83.5495532016887,-140.000203566243
89,-92.5492845485739,-139.365926595855
90,-73.6433269162571,-138.845741684219
91,-86.1704424989067,-138.129231631823
92,-72.9676987769811,-137.564462184726
93,-84.8967232220076,-136.86987333088
94,-88.7364818073007,-136.316967478658
95,-130.484306039933,-135.816120261064
96,-83.519530395511,-135.760580529594
97,-98.4936096447619,-135.222013002439
98,-78.325905751861,-134.84723337634
99,-86.4383863987114,-134.276310875083
100,-89.9140789515304,-133.797931630319
101,-87.9801023442345,-133.825022360137
102,-76.0935102282306,-133.702101264598
103,-77.3918908146474,-133.246792757184
104,-78.0324814130803,-132.959395787707
105,-83.8955959866842,-132.673853606035
106,-82.418382999131,-132.468712907321
107,-87.5692542744423,-132.174616300504
108,-86.0666586708701,-131.962779720956
109,-81.6797926078604,-131.785364913333
110,-85.3020493600255,-131.384874154058
111,-83.9282849536604,-130.540731443796
112,-73.1894893270245,-129.479792761807
113,-83.5885366366598,-128.371807365316
114,-91.540151687346,-127.640563808867
115,-86.9376545933845,-127.038626189883
116,-80.2032626203919,-126.218587889441
117,-75.9173159119765,-125.206278021818
118,-88.1615037526706,-124.559338955896
119,-92.0041576047952,-124.129128561178
120,-90.0301651522545,-123.207688691288
121,-93.5187959452305,-122.511466361572
122,-89.537615405896,-121.886123174005
123,-104.715460097432,-120.870836929411
124,-103.980209921401,-120.492850254129
125,-100.455382191002,-120.18096234057
126,-97.8276213094063,-119.841004412341
127,-106.135547606538,-119.236773719885
128,-124.572549131913,-118.62700124074
129,-112.687153630317,-117.906026421528
130,-112.972101024234,-117.573602395393
131,-101.483656432324,-117.352074435092
132,-124.201986718959,-117.245792584279
133,-108.891959008278,-117.280679563714
134,-119.103765150255,-116.96207088189
135,-104.053621127528,-116.743820829573
136,-113.367535969784,-116.348743540275
137,-111.922628635351,-115.982254760476
138,-116.694647352799,-115.413269561894
139,-130.149956676657,-115.198154075968
140,-104.847681743905,-114.744533391441
141,-93.4212463569659,-114.144294927216
142,-105.171160531315,-113.406456998088
143,-106.765575430494,-112.902421134007
144,-107.770903622892,-112.312710506584
145,-90.2009555990346,-111.859938696083
146,-127.963241580213,-111.135679461663
147,-101.102762573402,-110.900989842821
148,-92.13487588744,-110.461244290541
149,-99.5988458184312,-109.868820830605
150,-94.4476366882612,-109.395452951639
151,-102.59182076603,-108.753923302299
152,-88.0190216519299,-108.073486836589
153,-102.671825888798,-107.437695167149
154,-116.356774454446,-106.921825144125
155,-100.768323499779,-106.593589965875
156,-88.0040123781292,-106.038475121074
157,-85.833723801866,-105.376520043213
158,-88.1000480605751,-104.736829513422
159,-85.5338125985989,-104.034842377465
160,-105.849739954843,-103.285179562681
161,-90.2147390379722,-102.675877131123
162,-99.2408415257927,-101.9678948871
163,-81.60406673937,-101.300276810619
164,-82.284661783806,-100.585471918948
165,-91.0875896978926,-99.9254536646036
166,-99.6720812005618,-98.9709950873429
167,-91.8021779338842,-98.4818570643379
168,-100.179937044701,-97.8346307210326
169,-94.1309002568399,-97.2500068741221
170,-110.816080926564,-96.4619711829774
171,-91.6342780298353,-95.6520659722212
172,-89.7335203207317,-94.8840239933019
173,-112.529263934915,-94.1543764353188
174,-104.978871618739,-94.2360231023336
175,-80.5161547880641,-94.5683423545573
176,-94.6827232912645,-94.568966737614
177,-87.5082895969945,-94.5651600347969
178,-91.4899098907308,-94.5248306275037
179,-128.642060747082,-94.6483099457777
180,-98.9392804307033,-95.0408794203827
181,-86.6456504372695,-94.7297799548097
182,-96.8637988887589,-94.6721613015164
183,-94.8478663463775,-94.8668198549658
184,-90.2427912961576,-94.930481619774
185,-107.613259515887,-95.0343762655509
186,-91.0972255149359,-95.3495133986483
187,-84.8400693720183,-95.5312968872032
188,-87.4289012762008,-95.5888384148389
189,-94.3480424542851,-95.6276318955841
190,-87.0474030058244,-95.6456194746412
191,-90.0159857292835,-95.7796602355368
192,-100.427842461143,-95.8181156678406
193,-81.7773018383175,-96.0927171046822
194,-85.8827860795621,-96.0615228908453
195,-84.1189920888149,-96.0329859335679
196,-94.3762250357523,-95.5693327940568
197,-89.0669999993549,-95.6778997404592
198,-78.548604432847,-95.5836336440051
199,-82.5151353053476,-95.585860630815
200,-97.9428191856106,-95.5466281198813
201,-91.3542554005251,-95.6269155222221
202,-85.7970878603019,-95.660657052785
203,-96.9127208114033,-95.7576928291057
204,-92.0302638904784,-95.9529011290733
205,-92.3593073279944,-96.0928789538473
