,scores,avg_score
0,-87.20500596977348,
1,-100.27221189810751,-87.20500596977348
2,-121.62436096964483,-93.7386089339405
3,-106.13158776227789,-103.0338596125086
4,-106.58669958031433,-103.80829164995093
5,-104.40966585812097,-104.36397323602361
6,-111.82804368080879,-104.37158867303985
7,-108.75291222921253,-105.43679653129256
8,-103.80813943318672,-105.85131099353254
9,-121.72886853534314,-105.6242919312719
10,-169.7163203862573,-107.23474959167902
11,-190.0221531525261,-112.91489239118614
12,-183.98802897614263,-119.34049745463113
13,-156.7128922816191,-124.31338449474741
14,-151.73391358568153,-126.62763505095253
15,-168.94148463763898,-128.3013869532678
16,-181.434249382606,-130.841393058541
17,-140.6112225042019,-133.81744343054484
18,-131.18254322450184,-134.19487560130358
19,-184.14814459378357,-134.0363317919982
20,-159.65239812386838,-136.54192243208746
21,-156.0531147019676,-137.64242127455321
22,-191.06623986523044,-138.47927097579932
23,-142.5141276256803,-140.76566092751372
24,-135.16900127722363,-140.83851370660398
25,-134.451175013914,-140.61173320942876
26,-158.25069055508717,-140.37478866344742
27,-167.11279552100004,-141.03685910387853
28,-196.67003105313572,-141.96814254734716
29,-145.92955624382796,-143.85441456478813
30,-135.12489705432355,-143.92358595408948
31,-112.11184151363355,-143.63975727990348
32,-120.71328877546274,-142.65450991220752
33,-140.75282719061215,-141.98962442321525
34,-140.92877038200564,-141.95324803402104
35,-143.56135005734038,-141.92397724396344
36,-150.01641394962692,-141.96945982211278
37,-168.82114849355014,-142.18694506880237
38,-138.20619594541196,-142.88784515892732
39,-175.5120251293233,-142.76780287140127
40,-164.8715281664476,-143.58640842784936
41,-167.20503926975994,-144.10555768976639
42,-155.5747469394052,-144.65554534643292
43,-165.73663817284853,-144.9094802671997
44,-153.0480846729111,-145.38282476505537
45,-162.62687904106414,-145.55316387411884
46,-151.4322034644478,-145.9243315951394
47,-145.07731780140784,-146.04152035831615
48,-151.37722188098428,-146.02143280504723
49,-146.93563371506264,-146.1307346229235
50,-158.60060162228376,-146.1468326047663
