,scores,avg_score
0,-180.05242233047,
1,-165.365249912805,-62.2918448663688
2,-178.066138072967,-62.3713397768449
3,-186.015559613817,-62.4010502850032
4,-177.707653521776,-62.4019605403126
5,-174.459090088834,-62.4064406585653
6,-176.678291904562,-70.1909615107715
7,-177.053807901079,-75.156347824741
8,-171.558910508232,-81.7379611497337
9,-171.038760573914,-88.0661367198479
10,-180.05242233047,-97.2894268853186
11,-180.05242233047,-104.368773498094
12,-165.365249912805,-110.675744234126
13,-178.066138072967,-114.882629286332
14,-186.015559613817,-119.395737056806
15,-177.707653521776,-123.837058560607
16,-174.459090088834,-127.20397074568
17,-176.678291904562,-129.983683648218
18,-177.053807901079,-132.577828551348
19,-171.558910508232,-134.918669569755
20,-171.038760573914,-136.750681616679
21,-176.282119575243,-138.383447281309
22,-169.838475800464,-140.106114203761
23,-168.72181176934,-141.398825577531
24,-143.011891477024,-142.537283335523
25,-170.103520578229,-142.556267661183
26,-180.304458190187,-143.615777388761
27,-156.20584140067,-144.974617418444
28,-165.492484677757,-145.375732560666
29,-162.967579567676,-146.069413668152
30,-164.364188336595,-146.632685864803
31,-165.699430554835,-147.204669815506
32,-195.112790409712,-147.78263108861
33,-160.96919006729,-149.216878340764
34,-170.904543704992,-149.562534568015
35,-157.075793267565,-150.172306257643
36,-180.902564327794,-150.364069785697
37,-175.719179776063,-151.189434503051
38,-159.167751710212,-151.834954115498
39,-166.104186216354,-152.022974566645
40,-157.689984189259,-152.375004857887
41,-152.146709978751,-152.504638500116
42,-164.39563760821,-152.496116392464
43,-164.227476828054,-152.772849443993
44,-166.549674311392,-153.03318188454
45,-160.182795922187,-153.333548382915
46,-169.243379187072,-153.482445068551
47,-157.024515343235,-153.817784092349
48,-154.646965435935,-153.88459099341
49,-155.002554400109,-153.900149655502
50,-162.994567841973,-153.922197750394
51,-143.401563980172,-154.100087360033
52,-169.092300880548,-153.894346525805
53,-152.43083736797,-154.181100381555
54,-127.926573303498,-154.148688103525
55,-120.877600645633,-153.671922379888
56,-122.214839556224,-153.086309491777
57,-153.063811929888,-152.544704756065
58,-121.256904326549,-152.553654879752
59,-151.141013905001,-152.023201480545
