,scores,avg_score
0,-256.807832562625,
1,-280.629200588151,-60.6040502407883
2,-256.807832562625,-59.6824008221959
3,-280.629200588151,-125.390878069006
4,-271.648015164256,-164.200458698792
5,-191.140598248652,-185.689969991885
6,-219.485707466455,-186.598408034679
7,-285.898773619086,-191.29659366779
8,-250.785869146144,-203.121866161702
9,-252.702996889319,-208.417866493307
10,-241.888155360872,-212.846379532908
11,-252.199040388859,-215.486540971814
12,-296.823478593694,-218.545915923234
13,-282.531604529063,-224.567266897885
14,-290.948285148391,-228.707576728683
15,-259.687211670613,-232.856957289997
16,-258.790795577306,-234.533848188786
17,-310.444803828964,-235.960727446934
18,-265.875136517043,-240.09873169038
19,-193.246271578576,-241.455384575994
20,-175.921949938057,-239.044928926123
21,-174.911334854868,-236.039072783834
22,-166.881463033173,-233.260539241608
23,-159.143071181327,-230.374492449937
24,-164.73257076131,-227.406516563745
25,-168.485105017436,-224.899558731648
26,-142.758046210221,-222.729772050332
27,-139.544391584077,-219.767856278476
28,-115.884589799759,-216.90273253939
29,-104.852718676803,-213.419348306989
30,-114.544782461009,-209.80046065265
31,-121.678355453198,-206.727696840016
32,-111.066941862891,-204.069904921678
33,-95.2789682772151,-201.251633313836
34,-125.688043502229,-198.134790224524
35,-119.449028494647,-196.064883175315
36,-119.095989988899,-193.936664989741
37,-125.139217538734,-191.913944043772
38,-114.60454410766,-190.156714398903
39,-136.263219172595,-188.21947926323
40,-136.236004074464,-186.920572760964
41,-112.920053456211,-185.684363768611
42,-137.814145623136,-183.951880189744
43,-107.780373117693,-182.878909618427
44,-124.612005358984,-181.172124697956
45,-124.637563259463,-179.91523315709
46,-122.124777293626,-178.713544681055
47,-193.368358581724,-177.509528353663
48,-165.897331230259,-177.839920650081
49,-160.574171364414,-177.59619433539
50,-134.160872146295,-177.255753875971
51,-137.41992079229,-176.410756194997
52,-116.500458696547,-175.660932437252
53,-165.966889191504,-174.544697083654
54,-125.008514654374,-174.385848789355
55,-119.223313449836,-173.48807907781
56,-138.356034359615,-172.519065405882
57,-139.450821236586,-171.919713984018
58,-144.648191155617,-171.359905488372
59,-146.674883995467,-170.907164567478
60,-150.468682584436,-170.503293224611
61,-141.505600861158,-170.174856984608
62,-146.098225825804,-169.712449627779
63,-158.289529886353,-169.337620678541
64,-154.384688668229,-169.164994259913
