,scores,avg_score
0,-136.08576178333712,
1,-155.5753353391771,-136.08576178333712
2,-170.6943530706954,-145.8305485612571
3,-145.47458524910996,-154.11848339773653
4,-137.2567003305801,-151.95750886057988
5,-128.22096419520042,-149.0173471545799
6,-137.17975723157858,-145.55128332801667
7,-131.41328896826062,-144.35535102852552
8,-130.15812828805764,-142.7375932709924
9,-134.1657312520277,-141.33987493955522
10,-126.34245595838681,-140.62246057080245
11,-126.45726357103135,-139.3242783333101
12,-136.14161132780134,-138.2520271031202
13,-131.23728272769583,-138.0896874280957
14,-124.96582994093069,-137.6002299494957
15,-135.39721650714063,-136.75793661559138
16,-166.11113861153498,-136.67289160881322
17,-164.99395721811632,-138.4045531972086
18,-254.48354412131454,-139.88174230948127
19,-257.5863070849919,-145.91341608905145
20,-201.4506014337789,-151.49706063884847
21,-139.03295944695662,-153.87580067670228
22,-165.78108679318348,-153.20112607535023
23,-172.9613053096728,-153.74808088916907
24,-189.21640866566392,-154.54863190669002
25,-176.5581475387263,-155.93534297704898
26,-160.74461133343743,-156.72852776788272
27,-160.4025861826372,-156.877271603644
28,-180.365693863481,-157.00317569575094
29,-165.82765148845556,-157.80877977050025
30,-174.03812910764432,-158.0760754944321
31,-176.56723529040272,-158.590980449697
32,-168.05987590435365,-159.15273841346902
33,-172.52796032994794,-159.42265167076854
34,-167.71214109543467,-159.80810192545027
35,-170.55241378743833,-160.03393161602128
36,-173.13231290538477,-160.32611167633843
37,-171.19444335416318,-160.67222522306938
38,-160.00403693603658,-160.94912570020344
39,-130.98009271646106,-160.92489265496837
40,-124.70992122705839,-160.17627265650572
41,-123.72834188679896,-159.3112396948119
42,-128.15675802661377,-158.46402784224014
43,-132.67716128782467,-157.75920761396978
44,-127.62370893565415,-157.18916110655738
45,-136.01500319047787,-156.5321510583151
46,-138.11684906230536,-156.08612610466645
47,-128.08691471612724,-155.70380106121195
48,-131.5071067414776,-155.12844926235604
49,-133.8207046300343,-154.6463810476442
50,-134.947445379434,-154.22986751929201
51,-136.69919538322048,-153.85178081066735
52,-130.01620989189684,-153.52192339860105
53,-133.07157943886327,-153.0784193701727
54,-130.47027892155177,-152.7079223344077
55,-136.65007862141783,-152.30360154508304
56,-120.81409044785809,-152.0240743500176
57,-138.6109087568252,-151.47653077278673
58,-129.92951352565387,-151.25470970354604
59,-143.6827831550599,-150.89326570053092
60,-124.78856403669072,-150.77309099143974
61,-123.73936069951091,-150.34711513972255
62,-133.54002271403004,-149.9179578100417
63,-127.77236792671013,-149.6579905862955
64,-123.64116694449547,-149.31602773223943
65,-140.87184248106396,-148.92102987396643
66,-143.13033941055937,-148.7990724892255
67,-129.09599170527994,-148.7144645328275
68,-133.17917928362056,-148.4259575794812
69,-128.13424483723685,-148.20498977809194
70,-125.32091844808821,-147.91826485036543
71,-136.57722300636553,-147.5999923658263
72,-136.69919324685694,-147.44689834694492
73,-133.49046086516864,-147.29966950995743
74,-135.36107878837868,-147.11305858232512
75,-132.635513846868,-146.95636551840585
76,-135.18645547708616,-146.76793325956982
77,-130.28250872065368,-146.6175244571999
78,-137.5818303303782,-146.4081011785262
79,-134.148167768658,-146.29637623108133
80,-135.82596721301877,-146.14452362530102
81,-131.47432471740314,-146.01713403996422
82,-130.94024197284725,-145.83978270676224
83,-134.98874810070956,-145.6602701677994
84,-133.68508207731355,-145.5332282384293
85,-134.93110152544162,-145.39383828359266
86,-128.96534660269322,-145.27217855384671
87,-130.53673351896353,-145.08474370383345
88,-137.544973251842,-144.91942540627812
89,-125.36622758642031,-144.83656639330692
90,-130.02403347992052,-144.62022929545265
91,-127.75324278477473,-144.459831539238
92,-131.4461786722282,-144.27823818321122
93,-126.43795652746266,-144.1402590486845
94,-133.65337373057352,-143.95193668143747
95,-137.43071758155352,-143.8435307556389
96,-126.14280108404256,-143.77673061840883
97,-130.16982938701167,-143.59493753042568
98,-137.352303265093,-143.4579466310031
99,-127.7634975010907,-143.39627346569088
100,-131.93117191715814,-143.2399457060449
101,-128.77394833358775,-143.19839980738308
102,-131.09388947217562,-142.9303859373272
103,-126.27096628216182,-142.534381301342
104,-130.9737007415459,-142.3423451116725
105,-134.30441953586782,-142.27951511578215
106,-136.58842968808355,-142.3403496691888
107,-128.8200725452476,-142.3344363937539
108,-127.67207519870726,-142.30850422952375
109,-128.23695298813678,-142.28364369863024
110,-140.3992003133767,-142.22435591599134
111,-136.05096526711486,-142.36492335954125
112,-129.25884230494026,-142.46086037650207
113,-127.7305653043245,-142.39203268627347
114,-137.13369207103958,-142.35696551203975
115,-145.351035645264,-142.47864413334085
116,-141.44411848700847,-142.57818232472206
117,-118.00500087648048,-142.3315121234768
118,-136.96771760596707,-141.86162256006048
119,-122.34901290225164,-140.68646429490698
120,-130.18882017085414,-139.33409135307957
121,-125.16271052088483,-138.62147354045032
122,-140.5491314342872,-138.48277105118962
123,-134.0480827931677,-138.23045149760065
124,-129.34904527717907,-137.84131927243558
125,-133.7492710948213,-137.24264563855075
126,-131.1588009424303,-136.8145568741117
127,-129.08844019989598,-136.5186987702016
128,-136.2171242227461,-136.20555731037422
129,-141.11116580034687,-135.76407161396685
130,-127.2116981938562,-135.5169067570858
131,-134.2176450449907,-135.04864244794788
132,-128.7838118921802,-134.62514654549378
133,-128.7061451235213,-134.23238590537204
134,-130.72370409671424,-133.79416775330782
135,-135.59595637789423,-133.42428338332059
136,-180.46433187940414,-133.07471880922512
137,-191.24108792672052,-133.14803899896532
138,-177.6302724831807,-133.3485054446909
139,-177.21808706199855,-133.52476780016232
140,-196.48418499465055,-133.98714774361773
141,-175.8756115369939,-134.70489038129364
142,-188.47626919994866,-135.22636307779555
143,-197.8991673250294,-135.82955818952894
144,-181.48545709042475,-136.48177824990097
145,-173.5857776179414,-137.0203957314487
146,-177.70021108428736,-137.39610347572332
147,-165.78548727609052,-137.79193709594313
148,-162.9056774224085,-138.1689228215428
149,-165.03589349667868,-138.48290852835208
