,scores,avg_score
0,-254.483544121315,
1,-257.586307084992,-136.085761783337
2,-201.450601433779,-145.830548561257
3,-139.032959446957,-154.118483397737
4,-165.781086793183,-151.95750886058
5,-172.961305309673,-149.01734715458
6,-189.216408665664,-145.551283328017
7,-176.558147538726,-144.355351028526
8,-160.744611333437,-142.737593270992
9,-160.402586182637,-141.339874939555
10,-180.365693863481,-140.622460570802
11,-165.827651488456,-139.32427833331
12,-174.038129107644,-138.25202710312
13,-176.567235290403,-138.089687428096
14,-168.059875904354,-137.600229949496
15,-172.527960329948,-136.757936615591
16,-167.712141095435,-136.672891608813
17,-254.483544121315,-138.404553197209
18,-254.483544121315,-139.881742309481
19,-257.586307084992,-145.913416089051
20,-201.450601433779,-151.497060638848
21,-139.032959446957,-153.875800676702
22,-165.781086793183,-153.20112607535
23,-172.961305309673,-153.748080889169
24,-189.216408665664,-154.54863190669
25,-176.558147538726,-155.935342977049
26,-160.744611333437,-156.728527767883
27,-160.402586182637,-156.877271603644
28,-180.365693863481,-157.003175695751
29,-165.827651488456,-157.8087797705
30,-174.038129107644,-158.076075494432
31,-176.567235290403,-158.590980449697
32,-168.059875904354,-159.152738413469
33,-172.527960329948,-159.422651670769
34,-167.712141095435,-159.80810192545
35,-170.552413787438,-160.033931616021
36,-173.132312905385,-160.326111676338
37,-171.194443354163,-160.672225223069
38,-160.004036936037,-160.949125700203
39,-130.980092716461,-160.924892654968
40,-124.709921227058,-160.176272656506
41,-123.728341886799,-159.311239694812
42,-128.156758026614,-158.46402784224
43,-132.677161287825,-157.75920761397
44,-127.623708935654,-157.189161106557
45,-136.015003190478,-156.532151058315
46,-138.116849062305,-156.086126104666
47,-128.086914716127,-155.703801061212
48,-131.507106741478,-155.128449262356
49,-133.820704630034,-154.646381047644
50,-134.947445379434,-154.229867519292
51,-136.69919538322,-153.851780810667
52,-130.016209891897,-153.521923398601
53,-133.071579438863,-153.078419370173
54,-130.470278921552,-152.707922334408
55,-136.650078621418,-152.303601545083
56,-120.814090447858,-152.024074350018
57,-138.610908756825,-151.476530772787
58,-129.929513525654,-151.254709703546
59,-143.68278315506,-150.893265700531
60,-124.788564036691,-150.77309099144
61,-123.739360699511,-150.347115139723
62,-133.54002271403,-149.917957810042
63,-127.77236792671,-149.657990586296
64,-123.641166944495,-149.316027732239
65,-140.871842481064,-148.921029873966
66,-143.130339410559,-148.799072489226
67,-129.09599170528,-148.714464532827
68,-133.179179283621,-148.425957579481
69,-128.134244837237,-148.204989778092
70,-125.320918448088,-147.918264850365
71,-136.577223006366,-147.599992365826
72,-136.699193246857,-147.446898346945
73,-133.490460865169,-147.299669509957
74,-135.361078788379,-147.113058582325
75,-132.635513846868,-146.956365518406
76,-135.186455477086,-146.76793325957
77,-130.282508720654,-146.6175244572
78,-137.581830330378,-146.408101178526
79,-134.148167768658,-146.296376231081
80,-135.825967213019,-146.144523625301
81,-131.474324717403,-146.017134039964
82,-130.940241972847,-145.839782706762
83,-134.98874810071,-145.660270167799
84,-133.685082077314,-145.533228238429
85,-134.931101525442,-145.393838283593
86,-128.965346602693,-145.272178553847
87,-130.536733518964,-145.084743703833
88,-137.544973251842,-144.919425406278
89,-125.36622758642,-144.836566393307
90,-130.024033479921,-144.620229295453
91,-127.753242784775,-144.459831539238
92,-131.446178672228,-144.278238183211
93,-126.437956527463,-144.140259048685
94,-133.653373730574,-143.951936681437
95,-137.430717581554,-143.843530755639
96,-126.142801084043,-143.776730618409
