,scores,avg_score
0,-136.070254724499,
1,-121.9656788672,-76.0765541564895
2,-115.770946188637,-76.0296238102515
3,-122.29249386246,-76.036337977567
4,-114.968929678845,-76.0124103501692
5,-119.711602543288,-76.0080824110862
6,-136.070254724499,-83.2920024331198
7,-121.9656788672,-90.8317527604597
8,-115.770946188637,-94.7234935238022
9,-122.29249386246,-97.0620993754505
10,-114.968929678845,-99.5851388241515
11,-123.297170425896,-100.983665265487
12,-112.330133658191,-102.843124028855
13,-120.367537931411,-103.572894000342
14,-118.610588107546,-104.77251142399
15,-117.953374872581,-105.69504986956
16,-115.868417500183,-106.461195182249
17,-116.239509809523,-107.014561200951
18,-112.549352575911,-107.527058345872
19,-112.685324622907,-107.791389621137
20,-113.521359408489,-108.036086371225
21,-108.05858657436,-108.29728984919
22,-109.657094379308,-108.286439700335
23,-119.353097372377,-108.346033382029
24,-121.55544606929,-108.804661048293
25,-118.804653846776,-109.314692449133
26,-114.272669018594,-109.679690964427
27,-123.489603260613,-109.84980126273
28,-116.798184340757,-110.336937048368
29,-118.971386688563,-110.55973867914
30,-109.610184627113,-110.840126946121
31,-111.639622704003,-110.800451387443
32,-110.898587373531,-110.826675491086
33,-94.6248023567744,-110.828854639039
34,-91.2938922358996,-110.352264866031
35,-88.3776105626762,-109.807739933742
36,-93.9955954393144,-109.212458562323
37,-100.061641087299,-108.801191991431
38,-96.7933380057277,-108.571203809743
39,-96.9155594820954,-108.269207250666
40,-103.582649267336,-107.985366056452
41,-98.16336818467,-107.877982720132
42,-102.798262515361,-107.646682374049
43,-98.3501407156839,-107.533928423847
44,-92.747594558106,-107.325205975935
45,-94.6391557377987,-107.001259055538
46,-86.260493160476,-106.732517679066
47,-83.7300196308208,-106.296942689309
48,-83.7256108294475,-105.826798458923
49,-91.7345870135695,-105.375753813424
50,-90.5659013019317,-105.102930477427
51,-87.8282139043638,-104.817890689672
52,-95.8282882482515,-104.491166136108
53,-86.0326708657273,-104.327715609922
54,-93.7634822396441,-103.98891848503
55,-86.2589263926253,-103.803001462386
56,-91.6941336107144,-103.489714407569
57,-87.8074853039654,-103.282774393589
58,-93.4498585935442,-103.015959064458
59,-87.776198441452,-102.853821768341
60,-93.7168859607165,-102.602528046226
61,-90.5478000450705,-102.456861782529
62,-92.3048448785788,-102.264780141602
63,-92.1540755635601,-102.106685931078
64,-90.1411894586247,-101.951176394086
65,-90.5344681784901,-101.769484287386
66,-86.8553015553019,-101.599256770585
67,-90.136796721329,-101.379197737521
68,-85.8253516008302,-101.213868310812
69,-88.3772021232766,-100.990846329508
70,-86.7635829714885,-100.810651412276
71,-82.9608713955662,-100.612805377899
72,-86.0250881184286,-100.367639628144
73,-84.9931173651104,-100.171166319792
74,-82.3494603162897,-99.9660575501342
75,-86.4481824564493,-99.7311695870163
76,-84.371554887425,-99.5563934405614
77,-84.4501220279784,-99.3591877450661
78,-90.1897627168613,-99.1680458768984
79,-87.9530719529127,-99.0543967229738
80,-83.0464845910413,-98.9156301633481
81,-85.3029915895089,-98.7197147859122
82,-91.3167009361817,-98.5560962103463
83,-83.8605834518261,-98.4688745805371
84,-88.7636070747225,-98.2949663528143
85,-83.6139285375233,-98.1828327142486
86,-87.0462897107081,-98.0134268517285
87,-87.1756636345385,-97.8873678041306
