,scores,avg_score
0,-220.756781010946,
1,-210.287149012869,-87.7567810109462
2,-225.089428043771,-88.0219650119074
3,-240.158618123949,-133.711119355862
4,-316.084993632319,-136.572994047884
5,-334.617597377188,-172.475393964771
6,-323.741757988581,-199.499094533507
7,-331.163582585028,-217.248046455661
8,-249.640378996294,-231.487488471832
9,-238.545411398476,-233.504476307883
10,-226.015694691023,-234.008569816942
11,-242.651629771021,-233.281944805495
12,-212.208568824117,-234.062751885956
13,-220.235606255576,-232.381660881199
14,-223.352873341822,-231.514085550797
15,-217.920491578713,-230.970004736865
16,-215.27384590069,-230.154410164481
17,-209.547520395283,-229.279082854846
18,-216.179125231821,-228.182884940426
19,-196.43873815695,-227.551108113657
20,-196.323944798016,-225.995489615822
21,-196.329347042105,-224.582558910212
22,-196.891525912236,-223.298322007116
23,-196.257059386767,-222.150200437774
24,-196.460537570679,-221.071319560648
25,-206.582485828948,-220.08688828105
26,-200.63132220546,-219.567488186738
27,-201.941131927153,-218.86614870595
28,-194.1004026397,-218.261683820993
29,-196.224285009857,-217.428536194052
30,-196.459064218776,-216.721727821245
31,-196.330254778742,-216.068093511488
32,-196.52441785324,-215.45128605109
33,-196.31241808903,-214.877744590549
34,-196.333044012484,-214.331705575798
35,-196.283513171087,-213.817458102561
36,-196.252765069613,-213.330404076687
37,-196.742045818538,-212.868846265685
38,-196.281460043646,-212.444456780233
39,-196.399370727203,-212.030020966475
40,-196.281595262397,-211.639254710493
41,-196.335927483253,-211.264677650783
42,-196.140104980775,-210.909231218223
43,-196.28594825465,-210.565763166189
44,-195.767251963907,-210.2412219182
45,-196.587561562892,-209.919578141438
46,-196.286569992865,-209.629751694078
47,-196.303655777657,-209.345854211074
48,-196.491155202595,-209.074141743711
49,-196.373422406525,-208.817346100014
50,-195.934148360586,-208.568467626145
51,-196.346435848607,-208.32073587584
52,-196.170529401958,-208.090460875316
53,-196.211670988544,-207.865556507894
54,-196.551689741721,-207.649743813091
55,-196.388966238276,-207.447961011794
56,-232.02366530684,-207.250478962267
57,-274.72134577949,-207.685096266557
58,-279.404656642854,-208.840893671953
59,-275.211193487278,-210.03688965451
60,-278.402368852104,-211.123128051723
61,-272.909261385352,-212.2260664255
62,-270.183473898878,-213.20482763453
63,-271.591638579897,-214.109250591107
64,-269.780401147534,-215.007412903432
65,-272.769682083178,-215.850074261033
66,-278.074968210037,-216.712492561369
67,-270.064362302035,-217.628350406871
68,-270.536286885591,-218.399468228859
69,-270.354978574589,-219.155074296348
70,-259.459959488906,-219.886501500323
71,-213.795811866663,-220.443874148049
