,scores,avg_score
0,-106.58210947272072,
1,-108.42428942653765,-106.58210947272072
2,-106.93126065381952,-107.5031994496292
3,-126.72471547407743,-107.31255318435929
4,-111.7011028544877,-112.16559375678882
5,-110.93368362836094,-112.0726955763286
6,-117.50864747889253,-111.88286025166731
7,-113.42889447032795,-112.68654414127091
8,-116.29202558418481,-112.77933793240305
9,-111.36520297722083,-113.1696365603788
10,-116.65438938270621,-112.989193202063
11,-116.48996346138952,-113.32239285484876
12,-123.7364899396045,-113.5863570720605
13,-109.59077501650462,-114.36713652341004
14,-119.89650990366975,-114.02596784434537
15,-134.30380151924626,-114.417337314967
16,-131.99854737213238,-115.66024132773444
17,-137.8856578800676,-116.62131815387549
18,-128.65932101499186,-117.80267036088617
19,-135.63686594567494,-118.37407302689172
20,-142.53543352187393,-119.23721267283088
21,-131.9125799246672,-120.34665176088055
22,-125.98903306155904,-120.8723757683254
23,-134.50484812789165,-121.09483912890077
24,-131.9223841523457,-121.65358950385873
25,-128.391613556461,-122.06434128979821
26,-140.29363740780306,-122.30769791543909
27,-136.5047989456808,-122.97384382256368
28,-138.39005722897699,-123.45709221981785
29,-131.33102256042025,-123.9720220477199
30,-139.73217588646412,-124.21732206480992
31,-129.50790574239724,-124.71780122034716
32,-122.00362109469934,-124.86749198666121
33,-137.95788561539175,-124.78070802023811
34,-137.3950048331567,-125.1682720671544
35,-124.75145700760389,-125.5176072890402
36,-127.1716573577266,-125.49632533677807
37,-133.86928542265449,-125.5416045805875
38,-141.5367161650342,-125.76075407643138
39,-123.58667037778632,-126.16526592485708
40,-130.33788549954994,-126.10080103618029
41,-129.8866383630631,-126.2041445596771
42,-135.14069589821094,-126.29182298356724
43,-128.6209108196693,-126.49761072576825
44,-133.62643519275278,-126.54586754608418
45,-130.7419755215043,-126.70321349378794
46,-143.9243171527804,-126.79101266830351
47,-128.77084255789103,-127.15555106159026
48,-128.24358329275228,-127.18920296776321
49,-128.74081060606198,-127.21072093357931
50,-126.86034217516531,-127.24132272702896
51,-139.76054371060235,-127.23385252012967
52,-144.35157206663652,-127.47475042763875
53,-139.63635573574385,-127.79318102460098
54,-132.15257249420074,-128.01249907480732
55,-134.42763290155338,-128.08777313697811
56,-128.0352257005736,-128.2009849184884
57,-133.54353601467375,-128.19807686203376
58,-133.26917728168854,-128.29023995087238
59,-150.49053083620294,-128.3746287191913
60,-138.41407329966842,-128.74322708780815
61,-138.3069409145149,-128.90176555029768
