,scores,avg_score
0,-126.724715474077,
1,-111.701102854488,-106.582109472721
2,-110.933683628361,-107.503199449629
3,-126.724715474077,-107.312553184359
4,-111.701102854488,-112.165593756789
5,-110.933683628361,-112.072695576329
6,-117.508647478893,-111.882860251667
7,-113.428894470328,-112.686544141271
8,-116.292025584185,-112.779337932403
9,-111.365202977221,-113.169636560379
10,-116.654389382706,-112.989193202063
11,-116.48996346139,-113.322392854849
12,-123.736489939604,-113.58635707206
13,-109.590775016505,-114.36713652341
14,-119.89650990367,-114.025967844345
15,-134.303801519246,-114.417337314967
16,-131.998547372132,-115.660241327734
17,-137.885657880068,-116.621318153875
18,-128.659321014992,-117.802670360886
19,-135.636865945675,-118.374073026892
20,-142.535433521874,-119.237212672831
21,-131.912579924667,-120.346651760881
22,-125.989033061559,-120.872375768325
23,-134.504848127892,-121.094839128901
24,-131.922384152346,-121.653589503859
25,-128.391613556461,-122.064341289798
26,-140.293637407803,-122.307697915439
27,-136.504798945681,-122.973843822564
28,-138.390057228977,-123.457092219818
29,-131.33102256042,-123.97202204772
30,-139.732175886464,-124.21732206481
31,-129.507905742397,-124.717801220347
32,-122.003621094699,-124.867491986661
33,-137.957885615392,-124.780708020238
34,-137.395004833157,-125.168272067154
35,-124.751457007604,-125.51760728904
36,-127.171657357727,-125.496325336778
37,-133.869285422654,-125.541604580588
38,-141.536716165034,-125.760754076431
39,-123.586670377786,-126.165265924857
40,-130.33788549955,-126.10080103618
41,-129.886638363063,-126.204144559677
42,-135.140695898211,-126.291822983567
43,-128.620910819669,-126.497610725768
44,-133.626435192753,-126.545867546084
45,-130.741975521504,-126.703213493788
46,-143.92431715278,-126.791012668304
47,-128.770842557891,-127.15555106159
48,-128.243583292752,-127.189202967763
49,-128.740810606062,-127.210720933579
50,-126.860342175165,-127.241322727029
51,-139.760543710602,-127.23385252013
52,-144.351572066637,-127.474750427639
53,-139.636355735744,-127.793181024601
54,-132.152572494201,-128.012499074807
55,-134.427632901553,-128.087773136978
56,-128.035225700574,-128.200984918488
57,-133.543536014674,-128.198076862034
58,-133.269177281689,-128.290239950872
59,-150.490530836203,-128.374628719191
60,-138.414073299668,-128.743227087808
61,-138.306940914515,-128.901765550298
62,-128.786620465858,-129.05346192714
63,-106.629561876166,-129.049226348389
64,-118.806849242183,-128.698919091011
65,-116.172898628801,-128.546733401029
66,-123.839823538326,-128.359251055995
67,-108.647490339184,-128.29179691394
68,-110.572321858746,-128.002910052547
69,-104.455222332293,-127.750292832347
70,-113.084591057003,-127.417506110918
71,-126.061983420321,-127.215634067905
72,-118.485780571002,-127.199611142244
73,-111.150042348062,-127.080243600172
74,-110.932601335756,-126.864970610279
75,-102.852352744277,-126.652539019952
76,-116.424472472946,-126.339378674219
77,-103.364010337237,-126.210613658618
78,-113.821990353544,-125.917708487831
79,-112.38109346143,-125.764598131701
