,scores,avg_score
0,-177.324835290603,
1,-143.915711755472,-74.4408161077688
2,-169.544239476059,-74.7007726307709
3,-161.51017718149,-119.534461273618
4,-173.381817121998,-141.208571320514
5,-184.0052113842,-167.396144779263
6,-151.590673517395,-180.553446683465
7,-123.49522312388,-189.131389783583
8,-177.324835290603,-189.894871435365
9,-143.915711755472,-188.498200752614
10,-169.544239476059,-184.0399518529
11,-161.51017718149,-182.722159818642
12,-173.381817121998,-180.954494598879
13,-184.0052113842,-180.371980946811
14,-151.590673517395,-180.631497406625
15,-123.49522312388,-178.695442480676
16,-123.317566707058,-175.245428770876
17,-123.299569086725,-172.190848649475
18,-126.26638134777,-169.474666451545
19,-135.351092753256,-167.200546182925
20,-133.919917668553,-165.608073511442
21,-153.980713393716,-164.099113709399
22,-205.37381656517,-163.639186422323
23,-203.147822579303,-165.453735558968
24,-200.32925865896,-167.024322518149
25,-123.872321468249,-168.356519963781
26,-124.047725046143,-166.645589252415
27,-123.48800943082,-165.067890578108
28,-127.528682043166,-163.582894822848
29,-125.876778523474,-162.339646106307
30,-123.303186249467,-161.124217186879
31,-123.55441471513,-159.904183930834
32,-123.372477923423,-158.768253642843
33,-123.52392830775,-157.695654378618
34,-124.694858318562,-156.690603611828
35,-123.893115920615,-155.776439460592
36,-123.56429778173,-154.890791584481
37,-123.729631078953,-154.044129589812
38,-125.134334303315,-153.246379629
39,-124.927799445678,-152.525557953983
40,-123.435829404307,-151.835613991275
41,-123.354396275182,-151.142936318422
42,-123.444833064461,-150.481304412631
43,-123.282267449682,-149.852549264999
44,-123.257638052645,-149.248679223742
45,-123.206260534492,-148.671100531051
46,-123.265338520235,-148.117517052865
47,-123.345789943743,-147.588747296851
48,-124.507920927154,-147.083685685328
49,-123.299026235945,-146.622955792304
50,-123.262535601494,-146.156477201177
51,-123.779400484151,-145.707576385497
52,-123.225620838836,-145.285880695086
53,-123.359232176251,-144.869649377044
54,-123.237277360378,-144.47130831777
55,-123.182380733696,-144.085235027636
56,-123.13278941677,-143.711969772387
57,-123.405847130617,-143.350931520534
58,-123.437794572414,-143.00705075519
59,-123.290316671435,-142.675368447008
60,-123.33497229844,-142.352284250748
61,-123.422991247409,-142.040525038415
62,-123.28289150202,-141.740242235335
63,-123.358349713616,-141.447268414171
64,-123.599174739232,-141.164629059475
65,-123.340618169138,-140.894391300702
66,-123.57764536957,-140.628425041133
67,-123.390726184737,-140.373935792303
68,-123.341723727303,-140.124182709839
69,-123.298869857173,-139.880958666614
70,-123.579452499188,-139.644071683622
71,-123.198344431235,-139.417809441588
72,-123.482133837056,-139.192539094222
73,-123.469077274928,-138.977328063301
74,-123.548567054531,-138.767757106702
75,-123.238168396532,-138.564834572673
76,-123.259159636842,-138.363167912461
77,-123.262053762437,-138.167011960829
78,-123.176556755075,-137.975922753157
79,-123.413706212427,-137.788589006346
80,-123.179626614465,-137.608902971422
81,-123.365816365532,-137.430763757139
82,-123.216316010593,-137.259240008461
83,-123.654203646126,-137.090048153065
84,-123.096943649396,-136.93009762322
85,-123.368837148316,-136.767354635293
86,-123.178230121665,-136.611557920328
87,-123.321235367712,-136.457151853677
88,-123.344203701346,-136.307880075427
89,-123.172082200812,-136.162220790325
90,-123.416761244352,-136.017885917108
91,-123.290539538871,-135.879412019605
92,-123.237456826407,-135.742576449163
93,-123.240253429757,-135.608112797305
94,-123.433108309238,-135.47653982531
95,-123.321276734362,-135.349766861983
96,-123.400473095385,-135.22447008982
97,-123.581020334217,-135.102573213589
98,-123.365483856403,-134.985006347473
99,-123.321629881146,-134.867637433422
100,-123.147739172341,-134.752177357899
101,-123.316807499434,-135.239246588545
102,-123.267099895048,-135.722807372001
103,-123.213349148288,-134.863459985358
104,-123.265580330173,-134.033284462229
105,-123.437193054362,-132.544475879388
106,-123.365065062974,-131.315448247887
107,-123.280123257119,-130.143108414674
108,-123.400128131355,-129.423517217267
109,-123.095273800418,-128.884270145674
110,-123.409594686342,-128.676065766124
111,-123.407691679762,-128.214719318227
112,-123.128880374422,-127.83369446321
113,-123.284675624769,-127.331165095734
114,-123.433697051449,-126.723959738139
115,-123.187763843066,-126.44238997348
116,-123.363544761772,-126.439315380672
117,-123.270199412762,-126.439775161219
118,-123.375262783028,-126.439481464479
119,-123.459063284702,-126.410570278832
120,-123.148974305667,-126.291649984146
121,-123.303101083036,-126.183940550518
122,-123.280466077055,-125.877164427411
123,-123.233725626024,-125.05623092253
124,-123.408688207269,-124.257089952997
125,-123.324035292982,-123.48788424848
126,-123.374431960196,-123.482401386727
127,-123.445260045231,-123.475668455868
128,-123.434509238603,-123.475240962012
129,-123.284664443287,-123.434299233966
130,-123.230483219579,-123.408378093164
131,-123.266259451503,-123.407651062865
132,-123.295350643887,-123.404769510229
133,-123.427609204727,-123.403998237434
134,-123.20328289999,-123.403035046404
135,-123.432474515869,-123.388119292218
136,-123.104768559066,-123.38351287817
137,-123.17613734687,-123.378917585944
138,-123.252389874494,-123.373382648623
139,-123.17299485424,-123.354563204335
140,-123.405950651992,-123.33701515842
141,-123.081691611151,-123.336716370897
142,-123.249480126864,-123.333989324257
143,-123.425527794698,-123.332035794881
144,-123.201984393888,-123.333468398331
145,-123.345289526425,-123.332911861744
146,-123.188045988052,-123.334302151663
147,-123.268055367243,-123.333529226341
148,-123.186241623765,-123.332751880576
149,-123.311017608242,-123.319535087542
150,-123.369082615639,-123.319655001265
151,-125.819069139277,-123.320720471407
152,-124.397550694478,-123.341117157958
153,-123.511503888755,-123.352836456514
154,-123.216123785141,-123.354359173639
155,-123.187052785254,-123.354147637887
156,-123.373482063112,-123.354194358403
157,-123.145776509869,-123.356601284866
158,-123.416190655168,-123.354000578658
159,-123.482414963794,-123.353784539486
160,-124.965598050404,-123.35570552241
161,-123.672293436845,-123.372011779929
162,-123.973230554776,-123.374504801824
163,-123.415435078597,-123.381408192351
164,-123.383067934529,-123.381979046001
165,-123.503052465513,-123.379817977954
166,-123.117034344653,-123.381442320918
167,-125.497555959881,-123.376836210669
168,-123.72484817209,-123.39790450842
169,-123.163093899943,-123.401735752868
170,-123.536116788315,-123.400377993296
171,-123.271726425065,-123.399944636187
172,-123.441658418754,-123.400678456125
173,-123.239040326888,-123.400273701942
174,-123.372814257438,-123.397973332462
175,-123.199853489586,-123.396215804491
176,-123.683172489524,-123.395832655421
177,-123.295794151649,-123.400072783948
178,-123.643226602022,-123.40041018784
179,-123.25395425658,-123.40507688631
180,-123.201904788234,-123.403479366751
181,-123.393486899458,-123.403702148489
182,-123.627738557201,-123.403978853828
183,-124.137380023186,-123.408093079294
184,-123.59822308184,-123.412924843065
185,-123.347015985408,-123.417937637389
186,-123.306783474028,-123.41771942576
187,-123.473318978711,-123.419004959284
188,-123.284489659376,-123.420525795394
189,-123.263189671935,-123.419928654974
190,-123.616083567788,-123.420839729685
191,-123.34985101986,-123.42283295292
192,-123.400818779671,-123.42342606773
193,-123.161355204878,-123.425059687262
194,-123.445231281467,-123.424270705014
195,-123.341189306393,-123.424391934736
196,-123.272109803513,-123.424591060456
197,-123.227668423225,-123.423307427537
198,-123.97010366074,-123.419773908427
199,-123.344577075882,-123.425820106471
200,-123.354324364614,-123.426049578418
201,-124.186529884059,-123.428115430341
202,-123.495824887611,-123.436812654187
203,-123.300105024683,-123.439099904113
204,-123.351462094098,-123.439967462877
205,-123.500907607075,-123.440826280516
206,-123.068612822915,-123.441463426043
207,-123.305304786201,-123.438498903643
208,-122.650194762777,-123.438750718933
209,-123.308095417075,-123.431251385248
210,-123.188283225981,-123.433379601414
211,-123.360513824228,-123.431166486811
212,-123.327372064859,-123.430694708255
213,-123.274988370972,-123.43267962516
214,-123.089543673241,-123.432582752622
215,-122.895298873333,-123.42914121884
216,-123.526346223454,-123.426216569142
217,-123.20539221613,-123.427844583759
218,-122.55141429302,-123.427196511793
219,-122.917754353818,-123.418958026893
220,-123.326122091787,-123.413544937584
221,-118.532588158693,-123.415316415445
222,-137.660509535746,-123.367611286202
223,-153.997762226512,-123.511411720788
224,-154.787382360674,-123.819052086793
225,-154.997500497263,-124.132839028327
226,-164.107243328097,-124.44957368037
227,-155.151913904647,-124.856901794049
228,-188.965107772241,-125.173968332643
229,-221.822659002195,-125.82927431798
230,-193.094031794154,-126.814654263569
231,-191.664069137549,-127.513289749315
232,-152.129137488823,-128.197267846175
233,-149.324431031035,-128.485605714624
234,-228.932375326376,-128.744573932887
235,-191.21331558029,-129.801864857151
236,-211.837904647903,-130.479673267796
237,-187.033780095199,-131.367004628684
238,-170.866248926605,-132.005581056167
239,-152.332319191807,-132.481719646688
240,-165.046348953674,-132.773312890064
241,-208.339475976524,-133.189716873081
242,-170.774797597488,-134.042294716735
243,-150.653004662419,-134.517547891441
244,-155.649657944271,-134.789822660118
245,-151.890433708539,-135.114299395622
246,-149.984163650458,-135.399750837443
247,-144.254642267242,-135.667712014067
248,-152.329321459611,-135.877577883067
249,-143.306813153576,-136.169008681425
250,-132.465237052878,-136.368966636879
251,-140.419352956404,-136.459928181251
252,-186.629326915429,-136.605931019422
253,-131.677795888184,-137.228248781632
254,-163.140690962865,-137.309911701626
255,-150.781353035961,-137.709157373404
256,-122.006168029363,-137.985100375911
257,-146.057946045774,-137.971427235573
258,-151.20010232952,-138.200548930932
259,-154.689830762898,-138.478388047676
260,-121.465225895592,-138.790462205667
261,-134.80494214638,-138.755458484119
262,-122.932969691085,-138.866784971214
263,-121.938899334601,-138.856382362577
264,-143.801801693615,-138.841617005137
265,-150.935932798419,-139.045804342728
266,-136.754925561435,-139.320133146057
267,-157.653256612131,-139.456512058225
268,-137.691431848689,-139.778069064747
269,-125.385192315522,-139.917734901513
270,-104.246428690437,-139.939955885669
271,-159.107369174406,-139.74705900469
272,-119.574432528044,-140.105415432184
273,-109.806504601846,-140.066743173277
274,-121.917908229819,-139.932417816026
275,-143.315185151373,-139.91786875575
276,-94.3376695800689,-140.119022072368
277,-89.8283465643733,-139.825567043273
278,-103.606850855199,-139.490892567401
279,-90.637656670547,-139.290528809932
280,-97.8426621227043,-138.964365834072
281,-92.7760859301372,-138.710773407417
282,-88.3885344553514,-138.404599397724
283,-111.217391348939,-138.052207356705
284,-107.291887417768,-137.923007469963
285,-80.4821903190545,-137.759944113322
286,-73.1218603945056,-137.331295856658
